"CLTXB","ESTCB","NGTXB","PATXB","TEACB","TECCB","TEICB","TERCB","TETXV"
"1",30766.97153,326646.6292,3113588.764,2468140.866,1211721.191,462300.673,4427927.933,678597.6958,5324.06795
"2",23918.23111,353542.8554,3283067.385,2542021.581,1257792.776,482706.649,4644493.334,720352.5034,5863.98515
"3",24227.97199,394324.7445,3218717.13,2831725.84,1360300.152,521477.1118,4806806.899,782372.3394,6465.27217
"4",59672.60064,418046.7666,3456180.609,3086370.03,1485796.02,564711.8305,5226446.276,794777.3216,7483.05931
"5",60393.25953,429672.8461,3227797.95,3106020.94,1508953.208,551904.2086,5072971.876,787712.6474,11079.70264
"6",77663.05459,441813.0424,2667931.433,3063015.803,1561401.988,566274.6777,4476429.838,761045.7756,12501.71052
"7",62911.38549,465891.4445,2671352.321,3297753.475,1613678.052,598119.8871,4696388.631,768460.6187,14938.9261
"8",55770.80268,522009.499,2727354.89,3637217.734,1727264.48,663303.9047,5001619.801,867279.0126,18048.37209
"9",61236.14428,558957.252,2789907.363,3845936.57,1825561.03,713455.7841,5215168.272,930692.3433,20319.38198
"10",83619.03196,572315.232,2677820.156,4193829.29,1880592.984,816533.2362,5331251.111,941758.4326,27354.78866
"11",63353.91371,612215.16,2743166.071,4081478.166,1801946.491,760193.7144,5533705.178,929935.458,35405.96029
"12",91514.60359,630465.3407,2632754.792,3950205.05,1825953.612,788171.3732,5317193.338,907729.4162,43163.75156
"13",83896.687,635056.7087,2174280.479,3789688.293,1882945.968,818907.6236,4582829.892,969172.4856,42823.23134
"14",65888.38923,652316.9044,2116289.657,3792258.299,1880447.395,892409.7351,4506367.178,947256.9617,42370.80413
"15",93080.0384,710569.0592,2252844.941,4002584.396,1959857.554,878272.7683,4869332.463,1048709.303,44663.3168
"16",85564.52888,727182.5273,2273658.806,3988731.875,2027384.782,893693.0525,4820883.221,1077207.947,42849.64982
"17",72583.03932,727675.6773,2167359.617,4018583.878,2073302.961,876652.1833,4707757.414,1050204.864,34347.25142
"18",62568.16415,737218.8639,2348866.681,4072494.636,2032586.239,902336.4233,4924545.503,1089165.183,35036.79497
"19",53274.67755,765468.0948,2586830.63,4319767.557,2146023.802,946198.4339,5308078.454,1118902.411,36518.99332
"20",62573.15947,783600.6536,2702595.107,4337233.746,2149960.814,993076.655,5469387.391,1193165.76,38103.01173
"21",61750.41748,810060.4133,2703802.825,4401711.52,2155141.803,1009597.015,5575489.838,1190350.624,43253.26986
"22",63461.82084,820080.2972,2657365.944,4430039.197,2103189.156,1024283.523,5596846.525,1208185.702,43258.99144
"23",60678.743,816938.7017,2633868.866,4611016.795,2149477.456,1023692.739,5727818.902,1173195.439,43421.78375
"24",70996.3339,853288.0172,2681517.737,4538299.732,2143063.526,1039312.501,5746011.511,1241860.922,44980.77958
"25",82844.23981,880909.2626,2667928.197,4741694.807,2200292.273,1069547.477,5927941.607,1240654.135,47236.93124
"26",63673.99545,898306.5559,2799892.341,4743968.693,2167766.809,1133532.566,6059878.43,1272380.284,46861.45106
"27",73750.99532,950069.9772,3033543.987,5177648.139,2340281.247,1134763.852,6637185.199,1368958.293,55705.9819
"28",74120.35879,978232.3727,2971571.108,5511812.915,2404696.806,1188172.954,6861007.914,1386786.68,56861.08301
"29",63282.80419,1039652.655,2902376.028,5582369.354,2526544.402,1220153.326,6817072.304,1460902.882,50766.88535
"30",62702.98609,1029892.342,2661734.777,5511522.808,2512336.751,1251401.464,6485897.308,1436310.852,53748.64482
"31",73301.59035,1085911.749,2939393.186,5417919.913,2565843.693,1353967.362,6586698.318,1547998.452,72208.94125
"32",75897.64954,1085166.722,2838287.459,5405092.753,2677086.271,1337497.359,6310527.904,1553680.165,72162.47952
"33",72848.89125,1094726.037,2869824.33,5564644.844,2771307.253,1328778.148,6410045.681,1598294.915,66692.83283
"34",75195.64103,1101004.478,2696433.105,5608416.753,2656664.346,1312957.074,6423694.331,1580003.191,80799.73297
"35",71217.67275,1093937.834,2616979.12,5792817.896,2703472.965,1308206.855,6492687.284,1550187.675,95298.34242
"36",70386.91146,1140489.19,2117715.237,5656500.566,2729490.915,1395007.229,5810122.984,1609629.403,114594.7051
"37",70922.08914,1169375.015,2048272.191,6108375.821,2863263.261,1373061.772,6178128.5,1573647.959,135959.8398
"38",40434.01174,1173143.122,2134472.291,6121029.967,2907754.557,1375403.844,6194755.828,1590252.973,144676.5029
"39",39295.41791,1184166.083,2184582.125,5711336.663,2870450.757,1415147.748,5866009.291,1609918.643,170067.5441
"40",17437.90996,1178148.454,2046352.994,5496264.65,2724206.676,1459571.777,5502161.262,1611463.135,115217.0438
