"TETCB","TPOPP","CRTCB"
"1",6780547.493,11236,62756.82021
"2",7105345.262,11509.848,60470.71299
"3",7470968.316,11759.148,67559.72792
"4",8071725.41,12019.543,78101.59584
"5",7921551.775,12268.629,76691.32086
"6",7365142.004,12568.843,75871.68555
"7",7676636.933,12904.089,75964.66534
"8",8259469.661,13193.05,82565.80703
"9",8684864.669,13500.429,84175.21416
"10",8970132.66,13888.371,89720.8005
"11",9025782.041,14338.208,65818.6753
"12",8839051.882,14746.318,70515.77613
"13",8253855.618,15331.415,80753.13672
"14",8226486.996,15751.676,78067.25711
"15",8756179.058,16007.086,88645.53325
"16",8819179.128,16272.734,96301.17597
"17",8707922.255,16561.113,113055.793
"18",8948631.769,16621.791,120708.9929
"19",9519199.747,16667.022,151980.51979
"20",9805582.659,16806.735,233321.5748
"21",9930570.329,17056.755,285117.8676
"22",9932496.395,17398.005,329903.4682
"23",10074192.28,17759.738,392610.4835
"24",10170250.41,18161.612,248074.9076
"25",10438440.57,18564.062,415840.021
"26",10633549.42,18958.751,501956.8001
"27",11481175.96,19340.342,487769.8292
"28",11840669.74,19740.317,518417.5535
"29",12024684.51,20157.531,521426.0502
"30",11685942.83,20558.22,483140.78837
"31",12054512.27,20944.937,493437.8096
"32",11878785.05,21330.19,500586.5079
"33",12108417.68,21705.766,495376.3356
"34",11973320.04,22048.452,466298.7503
"35",12054552.92,22408.514,544813.5969
"36",11544259.62,22790.696,537950.6403
"37",11988110.8,23356.591,620938.6492
"38",12068165.68,23824.518,675344.9247
"39",11761527.02,24290.611,772136.0338
"40",11297410.59,24770.651,790699.8944
